"contrast","Buffer.Size","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass wasm) / (js-bypass wasm)","128","Chrome","guitar-lstm",0.954933224685254,0.0133915531075538,1296.0000000011,1,-3.28831609723336,0.00931434759338216
"(wasm-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.0920338023200128,0.00129064055956876,1296.0000000011,1,-170.113807156491,0
"(wasm-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.0919270260813957,0.00128914317772771,1296.00000000085,1,-170.196586382566,0
"(wasm-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.938892517132512,0.0131666054551711,1296.00000000196,1,-4.49631334019999,8.28560157154029e-05
"(wasm-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.906126172446114,0.0127071050066928,1296.00000000171,1,-7.02937021770991,4.01488869627193e-11
"(wasm-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.0930572411568625,0.00130499280450229,1296.00000000159,1,-169.325214066725,0
"(wasm-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.0927662709403399,0.00130091236934038,1296.00000000171,1,-169.548530292695,0
"(js-bypass wasm) / (js-onnx wasm)","128","Chrome","guitar-lstm",0.096377212501269,0.00135155058616244,1295.999999999,1,-166.825491059182,0
"(js-bypass wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.0962653971032319,0.00134998253742108,1295.999999999,1,-166.908270285258,0
"(js-bypass wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",0.983202273061523,0.0137879854997366,1295.99999999924,1,-1.20799724296611,1
"(js-bypass wasm) / (js-bypass js)","128","Chrome","guitar-lstm",0.948889565283241,0.0133067995522796,1295.99999999961,1,-3.74105412047444,0.00191256560905878
"(js-bypass wasm) / (js-onnx js)","128","Chrome","guitar-lstm",0.0974489511426668,0.00136658016578388,1295.99999999961,1,-166.036897969413,0
"(js-bypass wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.0971442489823471,0.00136230716003182,1295.99999999961,1,-166.260214195382,0
"(js-onnx wasm) / (wasm-onnx wasm)","128","Chrome","guitar-lstm",0.998839814981828,0.014007279339017,1295.999999999,1,-0.0827792260756204,1
"(js-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",10.2016052087891,0.143062713082255,1295.99999999924,1,165.617493816218,0
"(js-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.84558009779279,0.138069977403678,1295.99999999949,1,163.084436938725,0
"(js-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",1.01112024941978,0.0141794946161769,1295.99999999949,1,0.788593089787514,1
"(js-onnx wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.00795869128367,0.0141351583499459,1295.99999999961,1,0.56527686381765,1
"(wasm-onnx wasm) / (wasm-bypass js)","128","Chrome","guitar-lstm",10.2134547059227,0.143228885088906,1295.99999999924,1,165.700273042293,0
"(wasm-onnx wasm) / (js-bypass js)","128","Chrome","guitar-lstm",9.85701606014965,0.13823035018502,1295.99999999949,1,163.1672161648,0
"(wasm-onnx wasm) / (js-onnx js)","128","Chrome","guitar-lstm",1.01229469856303,0.0141959645615798,1295.99999999949,1,0.87137231586314,1
"(wasm-onnx wasm) / (wasm-onnx js)","128","Chrome","guitar-lstm",1.00912946817404,0.0141515767973297,1295.99999999949,1,0.648056089893277,1
"(wasm-bypass js) / (js-bypass js)","128","Chrome","guitar-lstm",0.965101069517019,0.0135341423803308,1295.99999999974,1,-2.53305687750824,0.0913951795250701
"(wasm-bypass js) / (js-onnx js)","128","Chrome","guitar-lstm",0.0991138383348397,0.00138992779332026,1295.99999999986,1,-164.828900726448,0
"(wasm-bypass js) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.0988039304260929,0.00138558178449875,1295.99999999986,1,-165.052216952418,0
"(js-bypass js) / (js-onnx js)","128","Chrome","guitar-lstm",0.102697884672784,0.00144018884365728,1296.00000000011,1,-162.295843848955,0
"(js-bypass js) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.102376770212822,0.00143568567921287,1296.00000000011,1,-162.519160074925,0
"(js-onnx js) / (wasm-onnx js)","128","Chrome","guitar-lstm",0.996873212520537,0.0139797005925414,1296.00000000011,1,-0.223316225969888,1
