"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","128","Chrome","guitar-lstm",0.00115662569657787,1.14692701669618e-05,1296.00000000307,0.00113434276955308,0.00117934634741077
"js-bypass","wasm","128","Chrome","guitar-lstm",0.00121121107390425,1.20105467801193e-05,1295.99999999912,0.00118787653443197,0.00123500399496468
"js-onnx","wasm","128","Chrome","guitar-lstm",0.0125674009703103,0.000124620192558082,1295.999999999,0.0123252841994815,0.0128142738611414
"wasm-onnx","wasm","128","Chrome","guitar-lstm",0.0125819984163716,0.000124764942975716,1295.99999999887,0.0123396004190179,0.0128291580581162
"wasm-bypass","js","128","Chrome","guitar-lstm",0.00123190426536825,1.22157435038472e-05,1295.99999999961,0.00120817106202686,0.00125610368161486
"js-bypass","js","128","Chrome","guitar-lstm",0.00127645104153159,1.26574758744782e-05,1296.00000000011,0.00125185962401999,0.00130152553063014
"js-onnx","js","128","Chrome","guitar-lstm",0.012429185329363,0.000123249625976303,1296.00000000011,0.0121897313465478,0.0126733431246131
"wasm-onnx","js","128","Chrome","guitar-lstm",0.0124681706492409,0.000123636210130147,1296.00000000011,0.0122279655962735,0.0127130942685974
"wasm-bypass","wasm","1024","Chrome","guitar-lstm",0.000977496384270861,9.69299761505526e-06,1295.99999999937,0.000958664465991535,0.000996698235053851
"js-bypass","wasm","1024","Chrome","guitar-lstm",0.000984962090276148,9.76702865155489e-06,1296.00000000011,0.000965986341730391,0.00100431059671435
"js-onnx","wasm","1024","Chrome","guitar-lstm",0.0117515675522396,0.000116530268643362,1296.00000000011,0.0115251681881512,0.0119824142850105
"wasm-onnx","wasm","1024","Chrome","guitar-lstm",0.011577246774128,0.000114801678222283,1296.00000000011,0.0113542057801579,0.0118046691652608
"wasm-bypass","js","1024","Chrome","guitar-lstm",0.00098751107795165,9.79230478746476e-06,1295.99999999974,0.000968486221983734,0.00100690965647378
"js-bypass","js","1024","Chrome","guitar-lstm",0.000996057701697227,9.877054362926e-06,1296.00000000011,0.000976868191084517,0.00101562416932514
"js-onnx","js","1024","Chrome","guitar-lstm",0.0117375544329972,0.000116391312496227,1296.00000000011,0.0115114250381083,0.011968125893318
"wasm-onnx","js","1024","Chrome","guitar-lstm",0.0116038073799192,0.000115065057087648,1296.00000000011,0.0113802546836393,0.0118317515251959
"wasm-bypass","wasm","8192","Chrome","guitar-lstm",0.00095298445548796,9.4499337315911e-06,1295.99999999937,0.000934624770811885,0.000971704796153403
"js-bypass","wasm","8192","Chrome","guitar-lstm",0.0009571192438093,9.49093489945291e-06,1296.00000000011,0.000938679900530881,0.000975920807883483
"js-onnx","wasm","8192","Chrome","guitar-lstm",0.0116957047270225,0.000115976324669438,1296.00000000011,0.0114703815860037,0.0119254540954947
"wasm-onnx","wasm","8192","Chrome","guitar-lstm",0.0115343883966668,0.000114376688260989,1296.00000000011,0.0113121730890879,0.0117609688816995
"wasm-bypass","js","8192","Chrome","guitar-lstm",0.000961447257097704,9.5338521144506e-06,1295.99999999961,0.000942924532648907,0.000980333840274454
"js-bypass","js","8192","Chrome","guitar-lstm",0.000960575646528251,9.52520909611548e-06,1296.00000000011,0.00094206971405872,0.00097944510786561
"js-onnx","js","8192","Chrome","guitar-lstm",0.0117296060487232,0.00011631249515117,1296.00000000011,0.01150362978312,0.0119600213717004
"wasm-onnx","js","8192","Chrome","guitar-lstm",0.0115599769747691,0.000114630428357126,1296.00000000011,0.0113372686914417,0.0117870601195215
"wasm-bypass","wasm","128","Firefox","guitar-lstm",0.00102284847893247,1.01427156421158e-05,1295.99999999924,0.00100314283165097,0.00104294122217134
"js-bypass","wasm","128","Firefox","guitar-lstm",0.00105202493195474,1.04320336325545e-05,1296.00000000011,0.00103175718686107,0.00107269081480447
"js-onnx","wasm","128","Firefox","guitar-lstm",0.00655080704764085,6.49587641562706e-05,1296.00000000011,0.00642460273121589,0.00667949051027153
"wasm-onnx","wasm","128","Firefox","guitar-lstm",0.00746926219353298,7.40663001859886e-05,1296.00000000011,0.00732536341549263,0.00761598770618663
"wasm-bypass","js","128","Firefox","guitar-lstm",0.00107084541805284,1.06186603350149e-05,1295.99999999986,0.0010502150876219,0.0010918810088335
"js-bypass","js","128","Firefox","guitar-lstm",0.00119382951769672,1.18381887176458e-05,1296.00000000011,0.00117082984191431,0.00121728099703517
"js-onnx","js","128","Firefox","guitar-lstm",0.00661249333786968,6.55704544639703e-05,1296.00000000011,0.00648510060663803,0.00674238856042028
"wasm-onnx","js","128","Firefox","guitar-lstm",0.0074836051192561,7.42085267425924e-05,1296.00000000011,0.00733943001814238,0.00763061238304863
"wasm-bypass","wasm","1024","Firefox","guitar-lstm",0.00065775099040722,6.52235535998628e-06,1296.00000000011,0.000645079114481325,0.000670671791520549
"js-bypass","wasm","1024","Firefox","guitar-lstm",0.000650018313520649,6.4456770010424e-06,1296.00000000011,0.000637495411178239,0.000662787214626859
"js-onnx","wasm","1024","Firefox","guitar-lstm",0.00570118619501196,5.65337990814648e-05,1296.00000000011,0.00559135021582341,0.00581317978226631
"wasm-onnx","wasm","1024","Firefox","guitar-lstm",0.00612489115699376,6.07353196722947e-05,1296.00000000011,0.00600689230646678,0.00624520796629466
"wasm-bypass","js","1024","Firefox","guitar-lstm",0.000680517105201934,6.74810749570777e-06,1296.00000000011,0.000667406629583753,0.000693885121820333
"js-bypass","js","1024","Firefox","guitar-lstm",0.000698392991444826,6.92536740736327e-06,1295.99999999998,0.000684938128640857,0.00071211216035982
"js-onnx","js","1024","Firefox","guitar-lstm",0.00578396731495952,5.7354668816775e-05,1295.99999999998,0.00567253651934912,0.00589758704706561
