Environment,Model,Run,Backend,PP,Buffer.Size,N,Mean,SD,CV,P99,Max,Miss,N_Steady,Mean_Steady,SD_Steady,CV_Steady,P99_Steady,Max_Steady,Miss_Steady
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,128,500,0.001163515625,0.00016738144896115143,0.14385835941064515,0.001953125,0.0037890625,0.0,490,0.0011440529336734693,4.6415639759321015e-05,0.04057123441857173,0.0012152343750000006,0.0016796875,0.0
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,1024,500,0.000978125,4.1121122836568996e-05,0.04204076456134849,0.00108896484375,0.00177734375,0.0,490,0.000976592394770408,3.9791478409704205e-05,0.040745226588682355,0.00108017578125,0.00177734375,0.0
Chrome,guitar-lstm,bypass,wasm-bypass,wasm,8192,500,0.000953897705078125,5.1764714338373183e-05,0.05426652571109143,0.000982086181640625,0.0019091796875,0.0,490,0.0009537938954878826,5.226739749669174e-05,0.05479946741529105,0.000982391357421875,0.0019091796875,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,128,500,0.00123921875,0.00016114339321056053,0.13003627746155433,0.0021097656249999997,0.0027734375,0.0,490,0.0012239317602040817,0.00010970284748734393,0.08963150647308293,0.0019617187500000012,0.002265625,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,1024,500,0.000987880859375,2.799628804095429e-05,0.028339741351671322,0.001103515625,0.0011962890625,0.0,490,0.000986228475765306,2.4706671617042417e-05,0.02505167131568597,0.001103515625,0.0011962890625,0.0
Chrome,guitar-lstm,bypass-jspp,wasm-bypass,js,8192,500,0.0009615087890625,1.0939051979141824e-05,0.011376965144341248,0.00099609375,0.0010205078125,0.0,490,0.0009610907106983418,1.0501296112160863e-05,0.010926435970367954,0.00099609375,0.0010205078125,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,128,500,0.0012200781249999998,0.00017962607250868865,0.14722505782872608,0.0021878906249999997,0.0027734375,0.0,490,0.0012022480867346938,0.00012313117356492877,0.10241744189367194,0.0016792968750000048,0.0027734375,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,1024,500,0.000985361328125,2.9535152417195277e-05,0.029973930957282846,0.00111826171875,0.001298828125,0.0,490,0.0009831293845663264,2.4970602764997603e-05,0.025399101234282122,0.00109375,0.001298828125,0.0
Chrome,guitar-lstm,js-bypass,js-bypass,wasm,8192,500,0.00095856201171875,6.957454673760676e-05,0.07258220739715743,0.001001593017578125,0.002342529296875,0.0,490,0.0009584786551339286,7.02392397560042e-05,0.07328200725157479,0.001001654052734375,0.002342529296875,0.0
Chrome,guitar-lstm,js-bypass-jspp,js-bypass,js,128,500,0.001285234375,0.0001905031466000652,0.1482244408534943,0.0021488281249999997,0.0037109375,0.0,490,0.0012669005102040817,0.0001170446570927394,0.092386620851455,0.0016707031250000038,0.0028515625,0.0
