"contrast","Run","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"Native / Chrome","bypass","guitar-lstm",0.464976616735705,0.0062457409643905,431.999999999988,1,-57.0091348410994,2.39001624404939e-202
"Native / Firefox","bypass","guitar-lstm",0.627247183788223,0.00842542031056904,431.999999999988,1,-34.7231619560301,1.74635498319385e-126
"Native / Safari","bypass","guitar-lstm",0.625163107220514,0.00839742620952532,431.999999999988,1,-34.9709295961706,2.26102345757783e-127
"Chrome / Firefox","bypass","guitar-lstm",1.3489865107448,0.0181200946613582,431.999999999988,1,22.2859728850693,2.52970578114115e-73
"Chrome / Safari","bypass","guitar-lstm",1.3445044002629,0.0180598892659982,431.999999999988,1,22.0382052449289,2.21402432954135e-72
"Firefox / Safari","bypass","guitar-lstm",0.996677423794679,0.0133877463726653,431.999999999988,1,-0.247767640140439,0.804431914563262
"Native / Chrome","onnx","guitar-lstm",0.291444086361084,0.00391478668711085,431.999999999988,1,-91.7862232437339,1.06302362180782e-284
"Native / Firefox","onnx","guitar-lstm",0.521542789708408,0.0070055590950627,431.999999999988,1,-48.462307342811,3.57452167077868e-176
"Native / Safari","onnx","guitar-lstm",0.560233699040693,0.00752526995506823,431.999999999988,1,-43.1346801521224,2.31012607033338e-158
"Chrome / Firefox","onnx","guitar-lstm",1.789512342557,0.0240374034777401,431.999999999988,1,43.3239159009229,7.45238076255545e-159
"Chrome / Safari","onnx","guitar-lstm",1.9222681991447,0.0258206301216379,431.999999999988,1,48.6515430916114,1.07625990917351e-176
"Firefox / Safari","onnx","guitar-lstm",1.07418549368484,0.0144288639466679,431.999999999988,1,5.3276271906886,1.60504350308454e-07
"Native / Chrome","bypass","steerable-nafx",0.718089398253592,0.00964564713437251,432.000000000002,1,-24.6539551950004,1.20152278699109e-83
"Native / Firefox","bypass","steerable-nafx",0.807286470615094,0.010843775790095,432.000000000002,1,-15.9373653688923,1.043757401547e-44
"Native / Safari","bypass","steerable-nafx",0.740797700108022,0.00995067359380967,432.000000000002,1,-22.3361592787206,2.50339356559855e-73
"Chrome / Firefox","bypass","steerable-nafx",1.12421443984333,0.0151008715857208,431.999999999988,1,8.71658982610811,1.86185556270878e-16
"Chrome / Safari","bypass","steerable-nafx",1.03162322394629,0.0138571515162456,431.999999999988,1,2.31779591627983,0.0209267816976564
"Firefox / Safari","bypass","steerable-nafx",0.917639186426086,0.0123260750130347,431.999999999988,1,-6.39879390982827,8.16163046031431e-10
"Native / Chrome","onnx","steerable-nafx",0.269353574411144,0.00361805861424837,431.999999999988,1,-97.6543772912842,8.57583973583607e-296
"Native / Firefox","onnx","steerable-nafx",0.539627272864659,0.00724847668103031,432.000000000002,1,-45.9246072124987,5.08333952650919e-168
"Native / Safari","onnx","steerable-nafx",0.537070559527961,0.00721413394497335,432.000000000002,1,-46.2781696789598,4.85148877101448e-169
"Chrome / Firefox","onnx","steerable-nafx",2.00341604541311,0.0269106385422091,432.000000000002,1,51.7297700787856,1.60242113384724e-186
"Chrome / Safari","onnx","steerable-nafx",1.99392401122612,0.0267831379655709,432.000000000002,1,51.3762076123244,1.64091215102035e-185
"Firefox / Safari","onnx","steerable-nafx",0.995262075389323,0.0133687348800524,432.000000000015,1,-0.353562466461156,0.723839285005852
