"contrast","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","Chrome","guitar-lstm",0.986107818284118,0.0124212498243982,1296.00000000011,1,-1.11061572516661,0.266939799917214
"(wasm-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0884189966958376,0.00111374682039606,1296.00000000023,1,-192.570847923755,0
"(wasm-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.0907525578257026,0.00114314091426401,1296.00000000011,1,-190.50278485261,0
"(js-bypass) / (js-onnx)","Chrome","guitar-lstm",0.0896646340860491,0.00112943716675331,1295.99999999998,1,-191.460232198582,0
"(js-bypass) / (wasm-onnx)","Chrome","guitar-lstm",0.092031070176096,0.00115924536147901,1295.99999999998,1,-189.392169127437,0
"(js-onnx) / (wasm-onnx)","Chrome","guitar-lstm",1.02639207881868,0.0129286800007069,1295.99999999998,1,2.06806307114467,0.0776642351561754
"(wasm-bypass) / (js-bypass)","Firefox","guitar-lstm",0.984152987418806,0.0123966263074846,1295.99999999998,1,-1.26814987485518,0.204972195214066
"(wasm-bypass) / (js-onnx)","Firefox","guitar-lstm",0.13399649472012,0.00168785188156043,1295.99999999998,1,-159.566806216985,0
"(wasm-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.123034735003875,0.00154977493558568,1295.99999999998,1,-166.342394266917,0
"(js-bypass) / (js-onnx)","Firefox","guitar-lstm",0.136154130946206,0.00171502998328264,1295.99999999998,1,-158.29865634213,0
"(js-bypass) / (wasm-onnx)","Firefox","guitar-lstm",0.125015862957003,0.00157472969690451,1295.99999999998,1,-165.074244392061,0
"(js-onnx) / (wasm-onnx)","Firefox","guitar-lstm",0.918193683057601,0.0115657871410943,1295.99999999998,1,-6.77558804993246,3.75057179868983e-11
"(wasm-bypass) / (js-bypass)","Safari","guitar-lstm",0.97467079431749,0.0122771863363062,1295.99999999998,1,-2.03675968027793,0.0418770222136574
"(wasm-bypass) / (js-onnx)","Safari","guitar-lstm",0.132294127652017,0.00166640845899177,1295.99999999998,1,-160.581867713239,0
"(wasm-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.147987129573193,0.00186408126286111,1295.99999999998,1,-151.682574557692,0
"(js-bypass) / (js-onnx)","Safari","guitar-lstm",0.135732114292658,0.00170971416062451,1295.99999999998,1,-158.545108032962,0
"(js-bypass) / (wasm-onnx)","Safari","guitar-lstm",0.151832937270703,0.00191252397602251,1295.99999999998,1,-149.645814877415,0
"(js-onnx) / (wasm-onnx)","Safari","guitar-lstm",1.11862205979735,0.014090430890208,1295.99999999998,1,8.89929315554686,3.70328860251181e-18
"(wasm-bypass) / (js-bypass)","Chrome","steerable-nafx",0.957444074535193,0.0120601944555978,1295.99999999998,1,-3.45245649910876,0.00114680194653583
"(wasm-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00420897525986127,5.30172585979706e-05,1295.99999999998,1,-434.299161699543,0
"(wasm-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.00421346220243177,5.30737771992661e-05,1295.99999999998,1,-434.214575043162,0
"(js-bypass) / (js-onnx)","Chrome","steerable-nafx",0.00439605337983274,5.53737393212323e-05,1295.99999999998,1,-430.846705200436,0
"(js-bypass) / (wasm-onnx)","Chrome","steerable-nafx",0.00440073975545492,5.54327700289246e-05,1295.99999999998,1,-430.762118544055,0
"(js-onnx) / (wasm-onnx)","Chrome","steerable-nafx",1.00106604156439,0.0126096671808461,1295.99999999998,1,0.0845866563797388,0.932603071749072
"(wasm-bypass) / (js-bypass)","Firefox","steerable-nafx",0.925438085169528,0.0116570393619898,1295.99999999998,1,-6.15168127470467,2.03940354125341e-09
"(wasm-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00739007186730511,9.30871119587943e-05,1295.99999999998,1,-389.609771078605,0
"(wasm-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00719889648296206,9.06790211139897e-05,1295.99999999998,1,-391.690528016774,0
"(js-bypass) / (js-onnx)","Firefox","steerable-nafx",0.00798548491328985,0.000100587077029299,1295.99999999998,1,-383.458089803901,0
"(js-bypass) / (wasm-onnx)","Firefox","steerable-nafx",0.00777890665872403,9.79849679488587e-05,1295.99999999998,1,-385.53884674207,0
"(js-onnx) / (wasm-onnx)","Firefox","steerable-nafx",0.974130781435448,0.012270384204945,1295.99999999998,1,-2.08075693816998,0.0376521640293268
"(wasm-bypass) / (js-bypass)","Safari","steerable-nafx",0.766470975251459,0.00965465164175954,1295.99999999998,1,-21.1141156168762,5.51753675024677e-85
"(wasm-bypass) / (js-onnx)","Safari","steerable-nafx",0.00831283672767235,0.000104710478742095,1295.99999999998,1,-380.268613509243,0
"(wasm-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.00817126465974645,0.00010292720312937,1295.99999999998,1,-381.63229227524,0
"(js-bypass) / (js-onnx)","Safari","steerable-nafx",0.0108455988499044,0.000136613755932169,1296.00000000011,1,-359.15449789237,0
"(js-bypass) / (wasm-onnx)","Safari","steerable-nafx",0.0106608924846315,0.000134287150398097,1296.00000000011,1,-360.518176658368,0
"(js-onnx) / (wasm-onnx)","Safari","steerable-nafx",0.982969463666401,0.0123817183593584,1295.99999999998,1,-1.3636787659998,0.172905499892821
