"contrast","Backend","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"wasm / js","wasm-bypass","Chrome","guitar-lstm",0.974783373903271,0.0172813740681003,1295.99999999998,1,-1.44062504628053,0.149932177947853
"wasm / js","js-bypass","Chrome","guitar-lstm",0.981355307624196,0.0173978841030708,1295.99999999998,1,-1.06161126144429,0.288609985387412
"wasm / js","js-onnx","Chrome","guitar-lstm",1.00013961682929,0.0177309003225456,1295.99999999998,1,0.00787475947229811,0.993718127882438
"wasm / js","wasm-onnx","Chrome","guitar-lstm",1.00251831900621,0.0177730709660099,1295.99999999998,1,0.141871222922003,0.887203775250817
"wasm / js","wasm-bypass","Firefox","guitar-lstm",0.965026128838559,0.0171083934794366,1295.99999999998,1,-2.00808031282491,0.0448419503074473
"wasm / js","js-bypass","Firefox","guitar-lstm",0.92017041177712,0.0163131722575896,1295.99999999998,1,-4.6928249554663,2.98033695379597e-06
"wasm / js","js-onnx","Firefox","guitar-lstm",0.993857051909933,0.0176195203407104,1295.99999999998,1,-0.347571404446173,0.728218522651642
"wasm / js","wasm-onnx","Firefox","guitar-lstm",0.990771868442115,0.0175648248965702,1295.99999999998,1,-0.522944055676423,0.601102573960768
"wasm / js","wasm-bypass","Safari","guitar-lstm",0.846732744648434,0.0150112380737332,1296.00000000011,1,-9.38437365676895,2.73699716973449e-20
"wasm / js","js-bypass","Safari","guitar-lstm",0.802451691798604,0.01422620474334,1295.99999999998,1,-12.4141665848354,1.61993293705033e-33
"wasm / js","js-onnx","Safari","guitar-lstm",0.988680235816681,0.0175277435441582,1295.99999999998,1,-0.642150685276225,0.520888916689279
"wasm / js","wasm-onnx","Safari","guitar-lstm",0.974511708970527,0.0172765578766782,1295.99999999998,1,-1.45634733747188,0.145538837271258
"wasm / js","wasm-bypass","Chrome","steerable-nafx",0.994933896400373,0.0176386110976422,1296.00000000011,1,-0.2864879294153,0.774550227279863
"wasm / js","js-bypass","Chrome","steerable-nafx",0.994170718032345,0.0176250811470793,1295.99999999998,1,-0.329772018907711,0.741625523417932
"wasm / js","js-onnx","Chrome","steerable-nafx",0.996802050648105,0.0176717305303659,1295.99999999998,1,-0.180674464609267,0.856651351396607
"wasm / js","wasm-onnx","Chrome","steerable-nafx",1.00047156971319,0.0177367853243964,1295.99999999998,1,0.0265933694344242,0.978788155929862
"wasm / js","wasm-bypass","Firefox","steerable-nafx",0.998015045799778,0.0176932350241027,1295.99999999998,1,-0.112075766312334,0.910780687567511
"wasm / js","js-bypass","Firefox","steerable-nafx",1.00835918426491,0.0178766203084785,1295.99999999998,1,0.469553257534401,0.638753214945898
"wasm / js","js-onnx","Firefox","steerable-nafx",1.00059903536841,0.0177390450897224,1295.99999999998,1,0.0337794256256863,0.973058244104712
"wasm / js","wasm-onnx","Firefox","steerable-nafx",0.999749964926742,0.017723992407962,1295.99999999998,1,-0.0141053892446273,0.988748071896421
"wasm / js","wasm-bypass","Safari","steerable-nafx",1.0399203114854,0.0184361493896162,1295.99999999998,1,2.20798442870384,0.0274199500697926
"wasm / js","js-bypass","Safari","steerable-nafx",0.966273322130033,0.0171305042523347,1295.99999999998,1,-1.93522788196591,0.0531796698629428
"wasm / js","js-onnx","Safari","steerable-nafx",1.00160882412,0.0177569470540082,1295.99999999998,1,0.0906753609817657,0.927764560819867
"wasm / js","wasm-onnx","Safari","steerable-nafx",0.997931563713318,0.0176917550181825,1295.99999999998,1,-0.116794269067852,0.907041181030881
