"Environment","Run","Model.Unique","response","SE","df","lower.CL","upper.CL"
"Native","bypass","guitar-lstm",0.000500124936091603,4.75024890221801e-06,431.999999999988,0.000490875070158324,0.000509549103033397
"Chrome","bypass","guitar-lstm",0.00107559158480409,1.02161027699982e-05,432.000000000002,0.0010556983996409,0.00109585962969623
"Firefox","bypass","guitar-lstm",0.000797333091351844,7.5731689595307e-06,431.999999999988,0.000782586327759516,0.000812357737432959
"Safari","bypass","guitar-lstm",0.000799991122820997,7.59841527331596e-06,431.999999999988,0.00078519519864306,0.00081506585585138
"Native","onnx","guitar-lstm",0.0034825899312682,3.30780727055214e-05,432.000000000002,0.00341817904582713,0.00354821455130528
"Chrome","onnx","guitar-lstm",0.0119494273318466,0.000113497148350231,431.999999999988,0.0117284213534948,0.0121745978640624
"Firefox","onnx","guitar-lstm",0.00667747690120555,6.34235068689476e-05,432.000000000002,0.00655397622837086,0.00680330477445402
"Safari","onnx","guitar-lstm",0.00621631640015863,5.90433470213629e-05,432.000000000002,0.00610134494172734,0.00633345433768266
"Native","bypass","steerable-nafx",0.000126360192845144,1.20018484188671e-06,432.000000000002,0.00012402314712162,0.000128741276982792
"Chrome","bypass","steerable-nafx",0.000175967216829067,1.67135853113218e-06,431.999999999988,0.000172712683717719,0.000179283077143171
"Firefox","bypass","steerable-nafx",0.0001565246011727,1.48669014726862e-06,431.999999999988,0.00015362966138541,0.000159474092120856
"Safari","bypass","steerable-nafx",0.000170573144094155,1.62012495680225e-06,431.999999999988,0.00016741837495383,0.000173787360522339
"Native","onnx","steerable-nafx",0.0113794631864898,0.000108083557944315,431.999999999988,0.0111689987579607,0.0115938935278673
"Chrome","onnx","steerable-nafx",0.0422473071366045,0.000401270182438107,431.999999999988,0.0414659385247741,0.0430433995658444
"Firefox","onnx","steerable-nafx",0.0210876354081975,0.000200292986250572,431.999999999988,0.0206976172621318,0.0214850029101014
"Safari","onnx","steerable-nafx",0.0211880226622204,0.000201246476886224,432.000000000015,0.0207961478428035,0.0215872818239326
