"PP","Backend","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm","wasm-bypass","Chrome","guitar-lstm",0.00106657930382338,1.33705204380537e-05,1296.00000000011,0.00104066897905086,0.00109313473760111
"js","wasm-bypass","Chrome","guitar-lstm",0.00109417059459328,1.37164018139894e-05,1296.00000000011,0.00106758999682541,0.00112141298966141
"wasm","js-bypass","Chrome","guitar-lstm",0.00108881830738867,1.36493061323061e-05,1295.99999999998,0.00106236773230102,0.00111592744250331
"js","js-bypass","Chrome","guitar-lstm",0.00110950468085268,1.39086282269674e-05,1295.99999999998,0.0010825515733674,0.00113712886029517
"wasm","js-onnx","Chrome","guitar-lstm",0.0123836576672079,0.000155240165774566,1295.99999999998,0.0120828224729763,0.0126919829834115
"js","js-onnx","Chrome","guitar-lstm",0.0123819289415486,0.000155218494660495,1295.99999999998,0.0120811357431096,0.0126902112163584
"wasm","wasm-onnx","Chrome","guitar-lstm",0.0120752878463179,0.000151374475733603,1295.99999999998,0.011781943855207,0.0123759354452357
"js","wasm-onnx","Chrome","guitar-lstm",0.0120449548076968,0.000150994224109201,1295.99999999998,0.01175234769464,0.0123448471819486
"wasm","wasm-bypass","Firefox","guitar-lstm",0.000783402372200849,9.8206456764941e-06,1296.00000000011,0.000764371241727449,0.000802907335162082
"js","wasm-bypass","Firefox","guitar-lstm",0.000811793949189437,1.01765593521428e-05,1295.99999999998,0.000792073104432306,0.000832005798773974
"wasm","js-bypass","Firefox","guitar-lstm",0.000787827171299205,9.87611446964134e-06,1295.99999999998,0.000768688549539146,0.000807442301839178
"js","js-bypass","Firefox","guitar-lstm",0.000856175292332731,1.07329189715715e-05,1295.99999999998,0.00083537629519578,0.000877492137874515
"wasm","js-onnx","Firefox","guitar-lstm",0.00613824819913891,7.69484019671394e-05,1295.99999999998,0.00598913223204304,0.00629107681955106
"js","js-onnx","Firefox","guitar-lstm",0.00617618820266235,7.74240136640023e-05,1295.99999999998,0.00602615056212913,0.00632996144411438
"wasm","wasm-onnx","Firefox","guitar-lstm",0.00664826007178343,8.3341854514361e-05,1295.99999999998,0.00648675442751054,0.0068137868445611
"js","wasm-onnx","Firefox","guitar-lstm",0.00671018251884474,8.41181074765541e-05,1295.99999999998,0.00654717259757312,0.00687725102174637
"wasm","wasm-bypass","Safari","guitar-lstm",0.000799444757270835,1.00217512451887e-05,1296.00000000011,0.000780023910434292,0.000819349139659049
"js","wasm-bypass","Safari","guitar-lstm",0.000944152405022162,1.18357903465159e-05,1295.99999999998,0.000921216187001438,0.000967659683456845
"wasm","js-bypass","Safari","guitar-lstm",0.000795969307740013,9.97818339344381e-06,1295.99999999998,0.000776632889717859,0.000815787159225618
"js","js-bypass","Safari","guitar-lstm",0.000991921776569426,1.24346219160918e-05,1295.99999999998,0.000967825101068856,0.00101661840527387
"wasm","js-onnx","Safari","guitar-lstm",0.00674657887254595,8.45743681496134e-05,1295.99999999998,0.00658268477759727,0.0069145535630672
