"contrast","PP","Environment","Model.Unique","ratio","SE","df","null","t.ratio","p.value"
"(wasm-bypass) / (js-bypass)","wasm","Chrome","guitar-lstm",0.981853385535057,0.0114512328232475,1295.99999999998,1,-1.57022041666323,0.199135970470646
"(wasm-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.0854537624899623,0.000996636508374204,1295.99999999998,1,-210.90682547311,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.0871122394700796,0.00101597911727194,1295.99999999998,1,-209.258693536071,0
"(js-bypass) / (js-onnx)","wasm","Chrome","guitar-lstm",0.0870331189451413,0.00101505634451836,1295.99999999998,1,-209.336605056449,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","guitar-lstm",0.088722247897132,0.00103475644351755,1295.99999999998,1,-207.68847311941,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","guitar-lstm",1.01940788716368,0.011889226263048,1295.99999999998,1,1.64813193703883,0.199135970470646
"(wasm-bypass) / (js-bypass)","js","Chrome","guitar-lstm",0.986755928993726,0.0115084105723883,1296.00000000011,1,-1.1431620770163,0.269415737022567
"(wasm-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.0881129863307121,0.0010276507023243,1296.00000000011,1,-208.279301151031,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0896646017837297,0.00104574699864146,1296.00000000011,1,-206.782574447463,0
"(js-bypass) / (js-onnx)","js","Chrome","guitar-lstm",0.0892956239143838,0.00104144365605413,1295.99999999998,1,-207.136139074012,0
"(js-bypass) / (wasm-onnx)","js","Chrome","guitar-lstm",0.0908680648872998,0.00105978283779648,1295.99999999998,1,-205.639412370444,0
"(js-onnx) / (wasm-onnx)","js","Chrome","guitar-lstm",1.01760938446909,0.0118682505518142,1295.99999999998,1,1.49672670356784,0.269415737022567
"(wasm-bypass) / (js-bypass)","wasm","Firefox","guitar-lstm",0.995558303851998,0.0116110715657551,1295.99999999998,1,-0.381688903841267,0.702754701769312
"(wasm-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.126096904384115,0.0014706523719999,1295.99999999998,1,-177.546674564445,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.115957986319892,0.00135240344294419,1295.99999999998,1,-184.733818273624,0
"(js-bypass) / (js-onnx)","wasm","Firefox","guitar-lstm",0.126659487341146,0.00147721370642953,1295.99999999998,1,-177.164985660603,0
"(js-bypass) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.116475334363873,0.00135843720825942,1295.99999999998,1,-184.352129369782,0
"(js-onnx) / (wasm-onnx)","wasm","Firefox","guitar-lstm",0.919594234975525,0.0107251121631386,1295.99999999998,1,-7.18714370917849,2.22746979342618e-12
"(wasm-bypass) / (js-bypass)","js","Firefox","guitar-lstm",0.952879494737034,0.0111133139707879,1295.99999999998,1,-4.13850218608315,3.72136381594561e-05
"(wasm-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.130469038755856,0.00152164402652076,1295.99999999998,1,-174.624131421435,0
"(wasm-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.120080986828925,0.00140048948048795,1295.99999999998,1,-181.738118821302,0
"(js-bypass) / (js-onnx)","js","Firefox","guitar-lstm",0.136920816825701,0.00159689030451924,1295.99999999998,1,-170.485629235352,0
"(js-bypass) / (wasm-onnx)","js","Firefox","guitar-lstm",0.126019069034604,0.00146974458808607,1295.99999999998,1,-177.59961663522,0
"(js-onnx) / (wasm-onnx)","js","Firefox","guitar-lstm",0.920379179413055,0.0107342668716112,1295.99999999998,1,-7.11398739986716,3.71953013879724e-12
"(wasm-bypass) / (js-bypass)","wasm","Safari","guitar-lstm",0.996715787162221,0.0116245711483503,1295.99999999998,1,-0.282058912564633,0.777943371596402
"(wasm-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.114232179428092,0.00133227557373569,1295.99999999998,1,-186.019513299237,0
"(wasm-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.123282330360481,0.00143782634836162,1295.99999999998,1,-179.482183681874,0
"(js-bypass) / (js-onnx)","wasm","Safari","guitar-lstm",0.114608578392568,0.00133666546762429,1295.99999999998,1,-185.737454386671,0
"(js-bypass) / (wasm-onnx)","wasm","Safari","guitar-lstm",0.123688549883896,0.00144256403568695,1295.99999999998,1,-179.200124769308,0
"(js-onnx) / (wasm-onnx)","wasm","Safari","guitar-lstm",1.07922593246228,0.0125868766188317,1295.99999999998,1,6.53732961736362,1.79677343096311e-10
"(wasm-bypass) / (js-bypass)","js","Safari","guitar-lstm",0.958457088011481,0.0111783647412186,1295.99999999998,1,-3.63808145250625,0.000285465488282767
"(wasm-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.135096296966253,0.00157561115835649,1295.99999999998,1,-171.63585547956,0
"(wasm-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.144525695681293,0.00168558505227988,1295.99999999998,1,-165.850876703335,0
"(js-bypass) / (js-onnx)","js","Safari","guitar-lstm",0.140951847146895,0.00164390370530352,1295.99999999998,1,-167.997774027053,0
"(js-bypass) / (wasm-onnx)","js","Safari","guitar-lstm",0.150789949272681,0.00175864425581846,1295.99999999998,1,-162.212795250828,0
"(js-onnx) / (wasm-onnx)","js","Safari","guitar-lstm",1.06979761049554,0.0124769152828885,1295.99999999998,1,5.78497877622646,1.81638293849091e-08
"(wasm-bypass) / (js-bypass)","wasm","Chrome","steerable-nafx",0.956518432861067,0.0111557544494801,1295.99999999998,1,-3.81168631206309,0.000289000766673357
"(wasm-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00376153884516187,4.38703555176567e-05,1295.99999999998,1,-478.692206876625,0
"(wasm-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00378061372634369,4.40928234631837e-05,1295.99999999998,1,-478.258504455386,0
"(js-bypass) / (js-onnx)","wasm","Chrome","steerable-nafx",0.00393253147658706,4.58646211201966e-05,1295.99999999998,1,-474.880520564558,0
"(js-bypass) / (wasm-onnx)","wasm","Chrome","steerable-nafx",0.00395247346675317,4.60972020489943e-05,1295.99999999998,1,-474.44681814332,0
"(js-onnx) / (wasm-onnx)","wasm","Chrome","steerable-nafx",1.00507103128985,0.0117220173121159,1295.99999999998,1,0.433702421238675,0.664576729535085
"(wasm-bypass) / (js-bypass)","js","Chrome","steerable-nafx",0.961146799932597,0.0112097345138241,1295.99999999998,1,-3.3978007881478,0.00139980895817772
"(wasm-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00384068009991013,4.47933700403926e-05,1295.99999999998,1,-476.906942082311,0
"(wasm-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00386757441603652,4.51070350744216e-05,1295.99999999998,1,-476.308626085317,0
"(js-bypass) / (js-onnx)","js","Chrome","steerable-nafx",0.00399593496038218,4.66040879952302e-05,1295.99999999998,1,-473.509141294162,0
"(js-bypass) / (wasm-onnx)","js","Chrome","steerable-nafx",0.00402391644679849,4.6930432559922e-05,1295.99999999998,1,-472.910825297169,0
"(js-onnx) / (wasm-onnx)","js","Chrome","steerable-nafx",1.00700248795181,0.0117445436487869,1295.99999999998,1,0.598315996993529,0.549733650707221
"(wasm-bypass) / (js-bypass)","wasm","Firefox","steerable-nafx",0.959874822448426,0.011194899600046,1295.99999999998,1,-3.51134673258008,0.000922301697631785
"(wasm-bypass) / (js-onnx)","wasm","Firefox","steerable-nafx",0.00679836519692593,7.92884801685917e-05,1295.99999999998,1,-427.945366591107,0
"(wasm-bypass) / (wasm-onnx)","wasm","Firefox","steerable-nafx",0.00672098866774022,7.83860474186372e-05,1295.99999999998,1,-428.926848828797,0
