"Backend","PP","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","Chrome","guitar-lstm",0.00104403055593016,8.61001314296122e-06,1295.99999999986,0.00102727536983705,0.00106105902440621
"js-bypass","wasm","Chrome","guitar-lstm",0.00106332632887059,8.76914340756589e-06,1295.99999999998,0.00104626147342482,0.00108066951750438
"js-onnx","wasm","Chrome","guitar-lstm",0.0122174907869363,0.000100756396115061,1295.99999999998,0.012021417663824,0.0124167619246823
"wasm-onnx","wasm","Chrome","guitar-lstm",0.0119848894056816,9.88381563295511e-05,1295.99999999998,0.0117925491995863,0.0121803667413539
"wasm-bypass","js","Chrome","guitar-lstm",0.00107051050479181,8.82839057112019e-06,1296.00000000011,0.00105333035367408,0.00108797086960641
"js-bypass","js","Chrome","guitar-lstm",0.00108487871553353,8.94688373458611e-06,1295.99999999998,0.00106746797533635,0.00110257343040837
"js-onnx","js","Chrome","guitar-lstm",0.0121492931901535,0.000100193977514109,1295.99999999998,0.0119543145402045,0.0123474520035328
"wasm-onnx","js","Chrome","guitar-lstm",0.0119390538015645,9.84601547934647e-05,1295.99999999998,0.0117474491908713,0.012133783544041
"wasm-bypass","wasm","Firefox","guitar-lstm",0.00076279049378558,6.29065513410025e-06,1296.00000000011,0.000750548805454877,0.00077523184792362
"js-bypass","wasm","Firefox","guitar-lstm",0.00076619369336201,6.31872097270505e-06,1295.99999999998,0.000753897388581729,0.000778690554761188
"js-onnx","wasm","Firefox","guitar-lstm",0.00604924044338138,4.98874668242273e-05,1295.99999999998,0.00595215885053424,0.00614790546770379
"wasm-onnx","wasm","Firefox","guitar-lstm",0.00657816264316009,5.42494340730128e-05,1295.99999999998,0.00647259261112338,0.00668545455579919
"wasm-bypass","js","Firefox","guitar-lstm",0.000796035158795713,6.56482048399809e-06,1295.99999999998,0.000783259941493388,0.000809018743931597
"js-bypass","js","Firefox","guitar-lstm",0.000835399610540886,6.88945508876729e-06,1295.99999999998,0.000821992650507759,0.000849025242331259
"js-onnx","js","Firefox","guitar-lstm",0.00610133382131616,5.03170755805349e-05,1295.99999999998,0.00600341620481381,0.00620084850510393
"wasm-onnx","js","Firefox","guitar-lstm",0.00662915237305466,5.46699411568855e-05,1295.99999999998,0.00652276402932356,0.00673727594431063
"wasm-bypass","wasm","Safari","guitar-lstm",0.000749701463656122,6.18271124222549e-06,1296.00000000011,0.000737669835399189,0.000761929331574169
"js-bypass","wasm","Safari","guitar-lstm",0.000752171755792711,6.2030834886528e-06,1295.99999999998,0.000740100482906396,0.00076443991495658
"js-onnx","wasm","Safari","guitar-lstm",0.00656296209535294,5.41240767109546e-05,1295.99999999998,0.00645763601020627,0.00667000608225109
"wasm-onnx","wasm","Safari","guitar-lstm",0.00608117531088173,5.0150830408114e-05,1295.99999999998,0.00598358120942573,0.00618036120299046
"wasm-bypass","js","Safari","guitar-lstm",0.000900497981287315,7.42631468978993e-06,1295.99999999998,0.000886046286203074,0.000915185388087818
"js-bypass","js","Safari","guitar-lstm",0.000939528741089062,7.74819737125355e-06,1295.99999999998,0.000924450658548899,0.000954852751922947
"js-onnx","js","Safari","guitar-lstm",0.00666560077151679,5.49705273686742e-05,1295.99999999998,0.00655862748350837,0.00677431882767617
"wasm-onnx","js","Safari","guitar-lstm",0.00623071196469509,5.13840438877141e-05,1295.99999999998,0.00613071801541074,0.00633233684690906
"wasm-bypass","wasm","Chrome","steerable-nafx",0.000159634664718268,1.31649074204721e-06,1296.00000000011,0.00015707275836498,0.00016223835657422
"js-bypass","wasm","Chrome","steerable-nafx",0.000166891362710889,1.37633598770224e-06,1295.99999999998,0.000164212996810898,0.000169613413605574
"js-onnx","wasm","Chrome","steerable-nafx",0.0424386590938949,0.000349987278142964,1295.99999999998,0.0417575797647306,0.0431308470422663
"wasm-onnx","wasm","Chrome","steerable-nafx",0.0422245371448339,0.000348221436343469,1295.99999999998,0.0415468941644265,0.0429132326965135
"wasm-bypass","js","Chrome","steerable-nafx",0.000163295551199693,1.3466816981844e-06,1295.99999999998,0.0001606748928933,0.000165958953271682
"js-bypass","js","Chrome","steerable-nafx",0.000169896576892463,1.40111968148761e-06,1295.99999999998,0.00016716998163503,0.000172667643780659
"js-onnx","js","Chrome","steerable-nafx",0.0425173529041158,0.0003506362579419,1295.99999999998,0.0418350106526862,0.0432108243734138
"wasm-onnx","js","Chrome","steerable-nafx",0.042221695986664,0.000348198005602823,1295.99999999998,0.0415440986027515,0.0429103451981556
"wasm-bypass","wasm","Firefox","steerable-nafx",0.000140984268292776,1.16268283150972e-06,1295.99999999998,0.000138721673929011,0.000143283766286016
"js-bypass","wasm","Firefox","steerable-nafx",0.000146877764678895,1.21128589303342e-06,1295.99999999998,0.000144520588189993,0.000149273387461639
"js-onnx","wasm","Firefox","steerable-nafx",0.0207379662917382,0.000171023885571117,1296.00000000011,0.0204051518138123,0.0210762090790306
"wasm-onnx","wasm","Firefox","steerable-nafx",0.0209767156682588,0.000172992827244367,1295.99999999998,0.0206400696068505,0.0213188525333717
